,"Jour du 
mois",Date,Jour,"POIDS
NET",DEVOIEMENT,Tonnage incinéré,APPORTS VERRE,EVACUATION VERRE PLANIFIEE,"EVACUATION 
VERRE Réel","APPORTS
EMBALLAGE","EVACUATION
EMBALLAGE","Dispo quotidien
 en %",Temps de fonctionnement L1,Temps de fonctionnement L1 min,Temps de fonctionnement cumulé mensuel L1,Temps de fonctionnement cumulé mensuel L1 min,"Cumul Dispo mensuelle
 en %",Temps d'arret L1,"Evènements
Ligne 1","Refiom 
Planifié","Refiom 
Réel","Ferraille
Planifié","Ferraille
Réel","Machefers
Planifié","Machefers
Réel","Niveau Refiom
Réel",Dépotage BICARBONATE planifié," Dépotage BICARBONATE 
Réel",Niveau BICAR,Dépotage CHARBON ACTIF planifié,"Dépotage CHARBON
 ACTIF Réel","Niveau CHARBON
 ACTIF",Dépotage AMMONIAQUE planifié,Dépotage AMMONIAQUE Réel,Niveau AMMONIAQUE,Four haut,Four bas,DeNox,Gaz global,Eau forage,Eau de ville industrielle,Docuhe P2,Eau déminé,Eau de process (SNCC),Compteur eau déminéralisée jour FQ64327 (local osomoseur),Eau de ville/indus. FQ64005 (SNCC),Eau de trémis OM ,Eau adoucie ,"Delta conso 
,8,08/12/2025,lundi,"378,28",0,235,,,,"11,20","7,54","100,00%",24,0,185,4,"96,4%","0,0",,,,,,,,24,,,41,,,7,,,7,0,"0,0",0,0,"38,0",0,1,,0,"18,00",19,"0,00",26,9,29,43,"180,00%","116,90","116,00","4,87"
,9,09/12/2025,mardi,"313,88",0,235,,,,"7,24",,"100,00%",24,0,209,4,"96,8%","0,0",,,,,"16,78",,,30,,,40,,,7,,,7,0,"0,0",0,0,"35,0",0,0,,0,"19,00",20,"0,00",7,-19,29,56,"233,33%","122,00","124,00","5,08"
,10,10/12/2025,mercredi,"262,12",0,235,"15,36",,,"7,60",16,"100,00%",24,0,233,4,"97,1%","0,0",,,"26,48",,,"3,00","80,82",7,,,38,,,7,,,6,0,"0,0",0,0,"29,0",0,1,,0,"21,00",5,"0,00",18,11,26,32,"133,33%","109,00","109,00","4,54"
,11,11/12/2025,jeudi,"308,12",0,225,,,,"6,46","9,26","98,96%",23,45,256,49,"97,3%","0,3",ASL trémie vide,,,,"9,04","3,00","84,62",14,,,36,,,7,,,6,2,"0,0",0,2,"36,0",0,0,,0,"21,00",0,"0,00",33,15,30,30,"126,32%","123,00","124,00","5,13"
,12,12/12/2025,vendredi,"371,96",0,235,,,"22,64","10,30","6,64","100,00%",24,0,280,49,"97,5%","0,0",,,,,"22,08",,,21,,,34,,,7,,,6,0,"0,0",0,0,35,5,0,,0,"15,00",0,"0,00",23,-10,30,42,"172,92%","113,90","114,00","4,75"
,13,13/12/2025,samedi,"158,58",0,235,,,,,,"100,00%",24,0,304,49,"97,7%","0,0",,,,,,,,27,,,32,,,7,,,5,0,"0,0",0,0,63,0,0,,0,"37,00",0,"0,00",58,35,29,42,"175,83%","109,60","111,00","4,57"
,14,14/12/2025,dimanche,"0,78",0,235,,,,,,"100,00%",24,0,328,49,"97,9%","0,0",,,,,,,,33,,,29,,,6,,,5,0,"0,0",0,0,45,0,0,,0,"23,00",0,"0,00",37,-21,30,54,"224,17%","123,50","124,00","5,15"
,15,15/12/2025,lundi,"418,46",0,225,"14,76",,,"10,08","8,58","99,17%",23,48,352,37,"97,9%","0,2",ASL trémie vide,,,,,,,40,,,28,,,6,,,5,0,"0,0",0,0,"33,0",0,0,,0,"17,00",0,"0,00",27,-10,17,62,"260,50%","104,60","103,00","4,36"
,16,16/12/2025,mardi,"396,50",0,225,,"1,00","22,38","7,08","8,56","98,61%",23,40,376,17,"98,0%","0,3",ASL trémie vide + ASL Vibrations palier tirage,,"24,46",,,"3,00","81,64",19,,29,47,,,6,,,5,0,"0,0",0,0,"49,0",0,0,,0,"22,00",0,"0,00",17,-10,0,59,"248,87%","122,30","123,00","5,10"
,17,17/12/2025,mercredi,"182,22",0,235,,,,"7,08",8,"100,00%",24,0,400,17,"98,1%","0,0",,,,,,,,,,,,,,,,,,3,"0,0",0,3,"21,0",0,,,,"11,00",,,0,-17,0,50,"206,67%","95,10","96,00","3,96"
,18,18/12/2025,jeudi,"241,08",0,235,"12,98",,,"6,76",,"100,00%",24,0,424,17,"98,2%","0,0",,,"25,08",,,,,4,,,44,,,6,,,4,13,"0,0",0,13,"36,0",0,1,,0,"27,00",0,"0,00",0,0,0,72,"300,00%","145,00","149,00","6,04"
,19,19/12/2025,vendredi,"242,80",0,235,,,"20,08","10,56","16,48","100,00%",24,0,448,17,"98,3%","0,0",,,,,"10,68","3,00","82,76",10,,,42,,,6,,3,7,0,"1,0",0,1,61,0,0,,0,"23,00",0,"0,00",47,47,0,35,"144,58%","129,30","126,00","5,39"
,20,20/12/2025,samedi,"142,06",0,235,,,,,,"100,00%",24,0,472,17,"98,4%","0,0",,,,,,,,16,,,40,,,6,,,7,0,"0,0",0,0,59,0,0,,0,"31,00",0,"0,00",6,-41,0,61,"253,75%","124,80","124,00","5,20"
,21,21/12/2025,dimanche,"0,78",0,235,,,,,,"100,00%",24,0,496,17,"98,5%","0,0",,,,,,,,23,,,37,,,6,,,6,0,"0,0",0,0,30,0,0,,0,"14,00",0,"0,00",20,14,0,63,"262,08%","106,60","107,00","4,44"
,22,22/12/2025,lundi,"297,66",0,235,,,,"11,32","8,44","100,00%",24,0,520,17,"98,5%","0,0",,,,,,"6,00","159,94",30,,,35,,,6,,18,26,0,"0,0",0,0,"36,0",1,1,,0,"17,00",0,"0,00",9,-11,0,65,"271,67%","111,40","114,00","4,64"
,23,23/12/2025,mardi,"340,42",0,235,,,,"7,24","15,52","100,00%",24,0,544,17,"98,6%","0,0",,,"25,08",,"16,44","6,00","169,90",9,,,33,,,5,,,26,0,"0,0",0,0,"50,0",0,0,,0,"24,00",0,"0,00",5,-4,0,183,"762,92%","101,60","100,00","4,23"
,24,24/12/2025,mercredi,"292,06",0,225,"11,90",1,23,"6,62",4,"97,57%",23,25,567,42,"98,6%","0,6",ASL sur bourrage Trémie,,,,,,,14,,,31,,,5,,,26,16,"22,0",0,38,"48,0",0,0,,0,"24,00",0,"0,00",20,15,0,149,"637,15%","75,80","75,00","3,16"
,25,25/12/2025,jeudi,"50,98",0,235,,,,,,"100,00%",24,0,591,42,"98,6%","0,0",,,,,,,,18,,,30,,,5,,,25,38,"4,0",0,42,"38,0",0,1,,0,"17,00",0,"0,00",30,10,0,176,"733,75%","65,20","66,00","2,72"
,26,26/12/2025,vendredi,"273,02",0,206,,,,"14,34","6,96","89,10%",21,23,613,5,"98,3%","2,6",Grosse explosion (Disque de rupture déclenché),,,,,"4,00","115,10",24,,30,50,,,5,,,25,254,"98,0",0,352,70,0,0,,0,"32,00",0,"0,00",30,0,0,148,"694,00%","60,40","61,00","2,52"
,27,27/12/2025,samedi,"189,92",0,235,,,,,,"100,00%",24,0,637,5,"98,3%","0,0",,,,,,,,30,,,48,,,5,,,25,0,"1,0",0,1,45,0,0,,0,"21,00",0,"0,00",24,-6,0,192,"799,17%","75,70","76,00","3,15"
,28,28/12/2025,dimanche,"1,34",0,235,,,,,,"100,00%",24,0,661,5,"98,4%","0,0",,,,,,,,35,,,47,,,5,,,25,0,"0,0",0,0,52,0,0,,0,"21,00",0,"0,00",26,2,0,179,"745,00%","67,00","68,00","2,79"
,29,29/12/2025,lundi,"314,70",0,235,,,,"15,06","12,82","100,00%",24,0,685,5,"98,4%","0,0",,,"25,84",,"16,28","5,00","138,22",13,,,45,,,5,,,24,0,"0,0",0,0,"55,3",0,1,,0,"22,00",0,"0,00",12,-14,0,201,"838,75%","81,80","81,90","3,41"
,30,30/12/2025,mardi,"362,68",0,235,,,,"8,78","5,84","100,00%",24,0,709,5,"98,5%","0,0",,,,,,"5,00","134,76",18,,,44,,,5,,,24,0,"0,0",0,0,"58,2",0,0,,0,"24,00",0,"0,00",42,30,0,180,"750,83%","67,50","68,00","2,81"
,31,31/12/2025,mercredi,,0,235,,,,"10,92",11,"100,00%",24,0,733,5,"98,5%","0,0",,,,,,,"83,78",23,,,43,,,5,,,24,0,"0,0",0,0,"38,5",0,0,,0,"19,00",0,"0,00",42,0,0,179,"747,08%","68,80","68,10","2,87"
Enthalpie moyen (kj/kg),,3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilan Mensuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
